title,occupation_family,salary_median_clean,job_growth
Health Information Technologists and Medical Registrars,Healthcare Practitioners and Technical,32.36,
Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical,32.34,
"Media and Communication Equipment Workers, All Other","Arts, Design, Entertainment, Sports, and Media",32.3,
"Precision Instrument and Equipment Repairers, All Other","Installation, Maintenance, and Repair",32.25,
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related,32.11,
"Property, Real Estate, and Community Association Managers",Management Occupations,32.07,
Fundraisers,Business and Financial Operations,31.97,
Sound Engineering Technicians,"Arts, Design, Entertainment, Sports, and Media",31.94,
Crane and Tower Operators,Transportation and Material Moving,31.91,
Set and Exhibit Designers,"Arts, Design, Entertainment, Sports, and Media",31.87,
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related,31.86,
"Designers, All Other","Arts, Design, Entertainment, Sports, and Media",31.84,
First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,31.8,
Training and Development Specialists,Business and Financial Operations,31.66,
Rail Car Repairers,"Installation, Maintenance, and Repair",31.58,
Computer Numerically Controlled Tool Programmers,Production,31.57,
Physical Therapist Assistants,Healthcare Support,31.5,
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Transportation and Material Moving,31.48,
Appraisers and Assessors of Real Estate,Business and Financial Operations,31.45,
Appraisers of Personal and Business Property,Business and Financial Operations,31.45,
Food Service Managers,Management Occupations,31.4,
Millwrights,"Installation, Maintenance, and Repair",31.33,
"Educational, Guidance, and Career Counselors and Advisors",Community and Social Service,31.32,
Calibration Technologists and Technicians,Architecture and Engineering,31.27,
Art Therapists,Healthcare Practitioners and Technical,31.26,
"Rotary Drill Operators, Oil and Gas",Construction and Extraction,31.26,
Music Therapists,Healthcare Practitioners and Technical,31.26,
Anthropologists and Archeologists,"Life, Physical, and Social Science",31.21,
Industrial Engineering Technologists and Technicians,Architecture and Engineering,31.15,
Nanotechnology Engineering Technologists and Technicians,Architecture and Engineering,31.15,
Probation Officers and Correctional Treatment Specialists,Community and Social Service,31.02,
Librarians and Media Collections Specialists,"Education, Training, and Library",30.92,
Architectural and Civil Drafters,Architecture and Engineering,30.9,
Civil Engineering Technologists and Technicians,Architecture and Engineering,30.86,
"Radio, Cellular, and Tower Equipment Installers and Repairers","Installation, Maintenance, and Repair",30.86,
Midwives,Healthcare Practitioners and Technical,30.78,
"Healthcare Practitioners and Technical Workers, All Other",Healthcare Practitioners and Technical,30.78,
"Mobile Heavy Equipment Mechanics, Except Engines","Installation, Maintenance, and Repair",30.76,
Aircraft Cargo Handling Supervisors,Transportation and Material Moving,30.74,
Marriage and Family Therapists,Community and Social Service,30.66,
Industrial Machinery Mechanics,"Installation, Maintenance, and Repair",30.65,
Music Directors and Composers,"Arts, Design, Entertainment, Sports, and Media",30.61,
Interior Designers,"Arts, Design, Entertainment, Sports, and Media",30.52,
Continuous Mining Machine Operators,Construction and Extraction,30.47,
Transportation Security Screeners,Protective Service,30.46,
Health Education Specialists,Community and Social Service,30.29,
"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction,30.27,
Brokerage Clerks,Office and Administrative Support,30.26,
"Derrick Operators, Oil and Gas",Construction and Extraction,30.16,
Medical Equipment Repairers,"Installation, Maintenance, and Repair",30.11,
"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair",30.11,
Electricians,Construction and Extraction,29.98,
Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,29.97,
Riggers,"Installation, Maintenance, and Repair",29.84,
"Drafters, All Other",Architecture and Engineering,29.81,
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Transportation and Material Moving,29.76,
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Transportation and Material Moving,29.76,
First-Line Supervisors of Passenger Attendants,Transportation and Material Moving,29.76,
"First-Line Supervisors of Transportation Workers, All Other",Transportation and Material Moving,29.76,
Recycling Coordinators,Transportation and Material Moving,29.76,
Histotechnologists,Healthcare Practitioners and Technical,29.75,
Medical and Clinical Laboratory Technicians,Healthcare Practitioners and Technical,29.75,
Medical and Clinical Laboratory Technologists,Healthcare Practitioners and Technical,29.75,
Histology Technicians,Healthcare Practitioners and Technical,29.75,
Cytogenetic Technologists,Healthcare Practitioners and Technical,29.75,
Cytotechnologists,Healthcare Practitioners and Technical,29.75,
Curators,"Education, Training, and Library",29.7,
Biofuels Processing Technicians,Production,29.67,
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production,29.65,
Postal Service Clerks,Office and Administrative Support,29.63,
First-Line Supervisors of Gambling Services Workers,Personal Care and Service,29.61,
Hearing Aid Specialists,Healthcare Practitioners and Technical,29.6,
Archivists,"Education, Training, and Library",29.6,
"Career/Technical Education Teachers, Postsecondary","Education, Training, and Library",29.56,
Advertising Sales Agents,Sales and Related,29.55,
"Personal Service Managers, All Other",Management Occupations,29.49,
Fitness and Wellness Coordinators,Management Occupations,29.49,
Graphic Designers,"Arts, Design, Entertainment, Sports, and Media",29.47,
Commercial Divers,"Installation, Maintenance, and Repair",29.39,
Paralegals and Legal Assistants,Legal Occupations,29.33,
Chefs and Head Cooks,Food Preparation and Serving Related,29.32,
Clergy,Community and Social Service,29.24,
Brickmasons and Blockmasons,Construction and Extraction,29.23,
Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair",29.15,
"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media",29.12,
Lighting Technicians,"Arts, Design, Entertainment, Sports, and Media",29.11,
"Maintenance Workers, Machinery","Installation, Maintenance, and Repair",29.09,
Judicial Law Clerks,Legal Occupations,29.04,
Insurance Sales Agents,Sales and Related,29.02,
Computer User Support Specialists,Computer and Mathematical Occupations,29.01,
"News Analysts, Reporters, and Journalists","Arts, Design, Entertainment, Sports, and Media",28.98,
"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science",28.91,
Mental Health and Substance Abuse Social Workers,Community and Social Service,28.88,
